auction_name,auction_slug,period_date,winning_bid_max,winning_bid_min,winning_bid_mean,trading_volume,lots_count,all_auctions_lots_count
WhiskyAuction.com,whiskyauctioncom,2012-12-01 00:00:00+00,3085,1,107.58,291959,2714,3901
WhiskyAuction.com,whiskyauctioncom,2013-01-01 00:00:00+00,3040,1,94.37,390516,4138,5467
WhiskyAuction.com,whiskyauctioncom,2013-02-01 00:00:00+00,3020,1,134.51,335198,2492,4084
WhiskyAuction.com,whiskyauctioncom,2013-03-01 00:00:00+00,3632,1,147.88,238679,1614,3225
WhiskyAuction.com,whiskyauctioncom,2013-04-01 00:00:00+00,3480,1,134.67,320648,2381,4402
WhiskyAuction.com,whiskyauctioncom,2013-05-01 00:00:00+00,3381,1,119.45,264818,2217,3798
WhiskyAuction.com,whiskyauctioncom,2013-06-01 00:00:00+00,3419,1,153.44,317765,2071,5024
WhiskyAuction.com,whiskyauctioncom,2013-07-01 00:00:00+00,3815,1,137.74,390627,2836,4548
WhiskyAuction.com,whiskyauctioncom,2013-08-01 00:00:00+00,3094,1,115.66,312755,2704,5223
WhiskyAuction.com,whiskyauctioncom,2013-09-01 00:00:00+00,3505,1,132.52,403936,3048,5096
WhiskyAuction.com,whiskyauctioncom,2013-10-01 00:00:00+00,2090,1,128.65,360467,2802,6108
WhiskyAuction.com,whiskyauctioncom,2013-11-01 00:00:00+00,5294,1,136.59,458389,3356,6059
WhiskyAuction.com,whiskyauctioncom,2013-12-01 00:00:00+00,4293,1,121.9,381294,3128,6365
WhiskyAuction.com,whiskyauctioncom,2014-01-01 00:00:00+00,3691.3,0.8,149.77,454560.8,3035,6127
WhiskyAuction.com,whiskyauctioncom,2014-02-01 00:00:00+00,2441.6,0.8,134.91,307317.1,2278,5556
WhiskyAuction.com,whiskyauctioncom,2014-03-01 00:00:00+00,2467.1,0.8,129.91,256954.9,1978,6224
WhiskyAuction.com,whiskyauctioncom,2014-04-01 00:00:00+00,3000.2,0.8,148.41,361964.5,2439,7415
WhiskyAuction.com,whiskyauctioncom,2014-05-01 00:00:00+00,5058.2,0.8,110.22,255262.6,2316,5546
WhiskyAuction.com,whiskyauctioncom,2014-06-01 00:00:00+00,3907.9,0.8,113.85,294193.4,2584,7191
WhiskyAuction.com,whiskyauctioncom,2014-07-01 00:00:00+00,2084.5,0.8,111.79,274780.7,2458,5679
WhiskyAuction.com,whiskyauctioncom,2014-08-01 00:00:00+00,3254,0.8,132.58,431426.5,3254,7168
WhiskyAuction.com,whiskyauctioncom,2014-09-01 00:00:00+00,6328.8,0.8,159.4,467687.4,2934,6194
WhiskyAuction.com,whiskyauctioncom,2014-10-01 00:00:00+00,3504.6,0.8,170.51,533510.8,3129,8884
WhiskyAuction.com,whiskyauctioncom,2014-11-01 00:00:00+00,4898,0.8,177.19,495430.4,2796,8392
WhiskyAuction.com,whiskyauctioncom,2014-12-01 00:00:00+00,4874.6,0.8,192.29,588204.3,3059,8401
WhiskyAuction.com,whiskyauctioncom,2015-01-01 00:00:00+00,4738.7,1.6,194.67,537685.5,2762,6418
WhiskyAuction.com,whiskyauctioncom,2015-02-01 00:00:00+00,5419,0.8,200.47,458070.4,2285,7589
WhiskyAuction.com,whiskyauctioncom,2015-03-01 00:00:00+00,5453.9,0.7,181.84,569354.8,3131,8920
WhiskyAuction.com,whiskyauctioncom,2015-04-01 00:00:00+00,6302.4,0.7,149.48,418556.9,2800,7989
WhiskyAuction.com,whiskyauctioncom,2015-05-01 00:00:00+00,10226.5,0.7,265.54,710577.2,2676,8625
WhiskyAuction.com,whiskyauctioncom,2015-06-01 00:00:00+00,10395.7,0.7,190.94,497578.8,2606,8690
WhiskyAuction.com,whiskyauctioncom,2015-07-01 00:00:00+00,10649,0.7,190.32,547357.2,2876,8822
WhiskyAuction.com,whiskyauctioncom,2015-08-01 00:00:00+00,11720.7,0.7,145.17,480063.2,3307,9762
WhiskyAuction.com,whiskyauctioncom,2015-09-01 00:00:00+00,7381.7,0.7,192.51,736551.1,3826,9126
WhiskyAuction.com,whiskyauctioncom,2015-10-01 00:00:00+00,7463.6,0.7,178.4,627596.5,3518,10600
WhiskyAuction.com,whiskyauctioncom,2015-11-01 00:00:00+00,7097.2,0.7,204.31,627021.9,3069,12620
WhiskyAuction.com,whiskyauctioncom,2016-01-01 00:00:00+00,6449.8,0.7,188.47,745975.5,3958,12604
WhiskyAuction.com,whiskyauctioncom,2016-02-01 00:00:00+00,4985.7,0.8,204.83,553450.5,2702,11299
WhiskyAuction.com,whiskyauctioncom,2016-03-01 00:00:00+00,5528.4,0.8,172.05,481904.7,2801,11297
WhiskyAuction.com,whiskyauctioncom,2016-04-01 00:00:00+00,5811.7,0.8,183.26,675140.6,3684,11521
WhiskyAuction.com,whiskyauctioncom,2016-05-01 00:00:00+00,6684.8,0.8,153.91,469746.4,3052,11184
WhiskyAuction.com,whiskyauctioncom,2016-06-01 00:00:00+00,6842.3,0.8,189.69,631479.1,3329,11895
WhiskyAuction.com,whiskyauctioncom,2016-07-01 00:00:00+00,5503.3,0.8,191.03,637265.2,3336,13446
WhiskyAuction.com,whiskyauctioncom,2016-08-01 00:00:00+00,3882.8,0.8,211.07,611477.5,2897,12259
